desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
ESO056-115,Large Magellanic Cloud,GAL_SB,Dor,5.39306,-69.7558,646.0,0.4,V,23.45
NGC292,Small Magellanic Cloud,GAL_SB,Tuc,0.87917,-72.8283,299.92,2.2,V,23.42
NGC6960,Veil Nebula,REMNANT,Cyg,20.76583,30.595,210.0,7.0,B,
IC353,,NEBULA,Tau,3.88333,25.8478,181.97,,V,
IC360,,NEBULA,Tau,4.15056,26.1311,180.0,,V,
NGC1909,Witch Head Nebula,REFLECTION,Eri,5.08167,-7.2656,180.0,,V,
M31,Andromeda Galaxy,GAL_GENERIC,And,0.71194,41.2689,177.83,3.44,V,23.63
NGC1499,California Nebula,NEBULA,Per,4.05389,36.3672,160.0,5.0,B,
IC341,,NEBULA,Tau,3.68194,21.96,134.9,,V,
IC354,,NEBULA,Tau,3.89917,23.1469,128.82,,V,
IC1831,,NEBULA,Cas,2.73194,62.4114,120.23,,V,
NGC3372,Carina Nebula,HII,Car,10.75222,-59.8667,120.0,3.0,B,
NGC7000,North America Nebula,HII,Cyg,20.98806,44.5286,120.0,4.0,B,
M42,Great Orion Nebula,CLUSTERNEB,Ori,5.58778,-5.3894,90.0,4.0,V,
IC434,Flame Nebula,HII,Ori,5.68333,-2.4539,90.0,11.0,B,
IC4628,,NEBULA,Sco,16.94917,-40.4508,89.13,,V,
NGC2238,Rosette Nebula,HII,Mon,6.51083,5.0131,80.0,6.0,B,
NGC2237,Rosette a,NEBULA,Mon,6.51528,5.0492,80.0,,V,
NGC6727,,REFLECTION,CrA,19.02806,-36.8764,80.0,,V,
M33,Triangulum Galaxy,GAL_SA,Tri,1.56417,30.66,62.09,5.72,V,23.61
IC1805,,CLUSTERNEB,Cas,2.54472,61.4567,60.0,6.5,V,
NGC1432,Maia Nebula,HII,Tau,3.76389,24.3678,60.0,,V,
IC4592,,REFLECTION,Sco,16.19944,-19.4544,60.0,3.9,B,
IC4604,Rho Ophiuchi Nebula,NEBULA,Oph,16.42528,-23.4367,60.0,5.1,B,
IC4701,,NEBULA,Sgr,18.27667,-16.6481,60.0,,V,
IC5070,Pelican Nebula,HII,Cyg,20.85028,44.4014,60.0,8.0,B,
NGC6992,,REMNANT,Cyg,20.93833,31.7425,60.0,7.0,B,
IC405,Flaming Star Nebula,NEBULA,Aur,5.27444,34.3561,50.0,10.0,B,
IC443,Gem a,REMNANT,Gem,6.27667,22.5317,50.0,12.0,B,
C009,Cave Nebula,HII,Cep,22.96472,62.5181,50.0,,V,
M8,Lagoon Nebula,NEBULA,Sgr,18.06139,-24.3803,45.0,5.8,V,
IC1848,,CLUSTERNEB,Cas,2.85306,60.4022,40.0,6.5,V,
NGC2174,Monkey Head Nebula,NEBULA,Ori,6.15667,20.6594,40.0,,V,
NGC6526,,NEBULA,Sgr,18.06806,-24.4417,40.0,,V,
IC5068,,HII,Cyg,20.84167,42.4775,40.0,,V,
NGC752,,OPENCLUSTER,And,1.95944,37.8333,39.0,5.7,V,
NGC281,,HII,Cas,0.88306,56.6217,35.0,,V,
M67,King Cobra,OPENCLUSTER,Cnc,8.85556,11.8117,33.0,6.9,V,
NGC104,Tucanae Cluster,GLOBULAR,Tuc,0.40139,-72.0814,31.8,4.09,V,
NGC1435,Merope Nebula,NEBULA,Tau,3.76917,23.7647,30.0,,V,
NGC2024,,NEBULA,Ori,5.69528,-1.8564,30.0,,V,
NGC2736,Pencil Nebula,HII,Vel,9.00444,-45.9481,30.0,,V,
IC4605,,NEBULA,Sco,16.50306,-25.1153,30.0,4.7,B,
NGC55,,GAL_SB,Scl,0.24806,-39.1967,29.85,7.87,V,22.52
IC2391,Omicron Velae Cluster,OPENCLUSTER,Vel,8.67556,-53.0356,29.1,2.5,V,
M48,,OPENCLUSTER,Hya,8.22833,-5.7506,28.2,5.8,V,
M4,The Cats Eye,GLOBULAR,Sco,16.39306,-26.5256,28.2,5.4,V,
M20,Trifid Nebula,NEBULA,Sgr,18.045,-22.9717,28.0,8.5,V,
NGC1647,,OPENCLUSTER,Tau,4.76556,19.095,27.0,6.4,V,
NGC5139,Omega Centauri,GLOBULAR,Cen,13.44583,-47.4767,27.0,5.33,V,
NGC253,Sculptor Filament,GAL_SAB,Scl,0.79222,-25.2881,26.79,13.97,V,22.42
NGC5128,Centaurus a,GAL_S0,Cen,13.42417,-43.0192,25.88,6.84,V,23.59
IC349,Barnards Merope Nebula,REFLECTION,Tau,3.77194,23.9397,25.7,,V,
IC1340,,REMNANT,Cyg,20.93556,31.0478,25.12,,V,
IC447,,HII,Mon,6.51667,9.8972,25.0,7.7,B,
NGC6729,,NEBULA,CrA,19.03167,-36.9578,25.0,,V,
NGC7380,,CLUSTERNEB,Cep,22.78917,58.1322,25.0,7.2,V,
IC4665,,OPENCLUSTER,Oph,17.77417,5.6486,24.6,4.2,V,
